SED_IB,Length_ft,BoardFeet
34,36,1800.0
35,36,1970.0
36,36,2080.0
37,36,2320.0
38,36,2400.0
39,36,2520.0
40,36,2710.0
41,36,2860.0
42,36,3020.0
43,36,3140.0
44,36,3330.0
45,36,3420.0
46,36,3570.0
47,36,3730.0
48,36,3890.0
49,36,4040.0
50,36,4210.0
51,36,4380.0
52,36,4550.0
53,36,4730.0
54,36,4910.0
55,36,5100.0
56,36,5290.0
57,36,5480.0
58,36,5680.0
59,36,5880.0
60,36,6080.0
61,36,6240.0
62,36,6430.0
63,36,6620.0
64,36,6800.0
65,36,6990.0
66,36,7180.0
67,36,7370.0
68,36,7550.0
69,36,7740.0
70,36,7930.0
4,37,30.0
5,37,40.0
6,37,60.0
7,37,70.0
8,37,80.0
9,37,110.0
10,37,140.0
11,37,170.0
12,37,180.0
13,37,220.0
14,37,260.0
15,37,330.0
16,37,370.0
17,37,430.0
18,37,490.0
19,37,550.0
20,37,650.0
21,37,700.0
22,37,770.0
23,37,870.0
24,37,930.0
25,37,1060.0
26,37,1160.0
27,37,1270.0
28,37,1350.0
29,37,1410.0
30,37,1520.0
31,37,1640.0
32,37,1700.0
33,37,1810.0
34,37,1850.0
35,37,2020.0
36,37,2130.0
37,37,2380.0
38,37,2470.0
39,37,2590.0
40,37,2780.0
41,37,2940.0
42,37,3100.0
43,37,3230.0
44,37,3420.0
45,37,3510.0
46,37,3670.0
47,37,3830.0
48,37,3990.0
49,37,4150.0
50,37,4330.0
51,37,4500.0
52,37,4680.0
53,37,4870.0
54,37,5050.0
55,37,5240.0
56,37,5440.0
57,37,5630.0
58,37,5840.0
59,37,6040.0
60,37,6250.0
61,37,6410.0
62,37,6610.0
63,37,6800.0
64,37,6990.0
65,37,7180.0
66,37,7380.0
67,37,7570.0
68,37,7760.0
69,37,7950.0
70,37,8150.0
4,38,30.0
5,38,40.0
6,38,60.0
7,38,70.0
8,38,80.0
9,38,110.0
10,38,140.0
11,38,170.0
12,38,190.0
13,38,230.0
14,38,270.0
15,38,340.0
16,38,380.0
17,38,440.0
18,38,510.0
19,38,570.0
20,38,660.0
21,38,720.0
22,38,790.0
23,38,890.0
24,38,960.0
25,38,1090.0
26,38,1190.0
27,38,1300.0
28,38,1380.0
29,38,1450.0
30,38,1560.0
31,38,1690.0
32,38,1750.0
33,38,1860.0
34,38,1900.0
35,38,2080.0
36,38,2190.0
37,38,2440.0
38,38,2540.0
39,38,2660.0
40,38,2860.0
41,38,3020.0
42,38,3190.0
43,38,3310.0
44,38,3520.0
45,38,3610.0
46,38,3760.0
47,38,3930.0
